run_id,mode,requested_replace,effective_replace,n_target_windows,exhausted_fraction,trigger_sample,delay,status
8,exhaustion,-1,0,4,0.0,,,no_replacement
9,baseline,0,0,4,0.0,270.0,110.0,triggered
9,noise_1,1,1,4,0.25,300.0,140.0,triggered
9,noise_2,2,2,4,0.5,300.0,140.0,triggered
9,noise_3,3,3,4,0.75,300.0,140.0,triggered
9,noise_4,4,4,4,1.0,310.0,150.0,triggered
9,exhaustion,-1,4,4,1.0,310.0,150.0,triggered
10,baseline,0,0,4,0.0,250.0,90.0,triggered
10,noise_1,1,1,4,0.25,280.0,120.0,triggered
10,noise_2,2,2,4,0.5,280.0,120.0,triggered
10,noise_3,3,3,4,0.75,280.0,120.0,triggered
10,noise_4,4,4,4,1.0,290.0,130.0,triggered
10,exhaustion,-1,4,4,1.0,290.0,130.0,triggered
11,baseline,0,0,4,0.0,270.0,110.0,triggered
11,noise_1,1,1,4,0.25,290.0,130.0,triggered
11,noise_2,2,2,4,0.5,310.0,150.0,triggered
11,noise_3,3,3,4,0.75,310.0,150.0,triggered
11,noise_4,4,4,4,1.0,310.0,150.0,triggered
11,exhaustion,-1,4,4,1.0,310.0,150.0,triggered
12,baseline,0,0,4,0.0,310.0,150.0,triggered
12,noise_1,1,1,4,0.25,350.0,190.0,triggered
12,noise_2,2,2,4,0.5,350.0,190.0,triggered
12,noise_3,3,3,4,0.75,350.0,190.0,triggered
12,noise_4,4,4,4,1.0,350.0,190.0,triggered
12,exhaustion,-1,4,4,1.0,350.0,190.0,triggered
13,baseline,0,0,5,0.0,310.0,150.0,triggered
13,noise_1,1,1,5,0.2,310.0,150.0,triggered
13,noise_2,2,2,5,0.4,320.0,160.0,triggered
13,noise_3,3,3,5,0.6,350.0,190.0,triggered
13,noise_4,4,4,5,0.8,350.0,190.0,triggered
13,exhaustion,-1,5,5,1.0,350.0,190.0,triggered
14,baseline,0,0,4,0.0,320.0,160.0,triggered
14,noise_1,1,1,4,0.25,360.0,200.0,triggered
14,noise_2,2,2,4,0.5,360.0,200.0,triggered
14,noise_3,3,3,4,0.75,360.0,200.0,triggered
14,noise_4,4,4,4,1.0,360.0,200.0,triggered
14,exhaustion,-1,4,4,1.0,360.0,200.0,triggered
15,baseline,0,0,4,0.0,250.0,90.0,triggered
15,noise_1,1,1,4,0.25,260.0,100.0,triggered
15,noise_2,2,2,4,0.5,280.0,120.0,triggered
15,noise_3,3,3,4,0.75,280.0,120.0,triggered
15,noise_4,4,4,4,1.0,290.0,130.0,triggered
15,exhaustion,-1,4,4,1.0,290.0,130.0,triggered
16,baseline,0,0,4,0.0,300.0,140.0,triggered
16,noise_1,1,1,4,0.25,310.0,150.0,triggered
16,noise_2,2,2,4,0.5,340.0,180.0,triggered
16,noise_3,3,3,4,0.75,340.0,180.0,triggered
16,noise_4,4,4,4,1.0,340.0,180.0,triggered
16,exhaustion,-1,4,4,1.0,340.0,180.0,triggered
17,baseline,0,0,4,0.0,250.0,90.0,triggered
17,noise_1,1,0,4,0.0,,,no_replacement
17,noise_2,2,0,4,0.0,,,no_replacement
17,noise_3,3,0,4,0.0,,,no_replacement
17,noise_4,4,0,4,0.0,,,no_replacement
17,exhaustion,-1,0,4,0.0,,,no_replacement
18,baseline,0,0,6,0.0,360.0,200.0,triggered
18,noise_1,1,1,6,0.16666666666666666,400.0,240.0,triggered
18,noise_2,2,2,6,0.3333333333333333,360.0,200.0,triggered
18,noise_3,3,3,6,0.5,400.0,240.0,triggered
18,noise_4,4,4,6,0.6666666666666666,400.0,240.0,triggered
18,exhaustion,-1,6,6,1.0,400.0,240.0,triggered
19,baseline,0,0,4,0.0,260.0,100.0,triggered
19,noise_1,1,1,4,0.25,290.0,130.0,triggered
19,noise_2,2,2,4,0.5,300.0,140.0,triggered
19,noise_3,3,3,4,0.75,290.0,130.0,triggered
19,noise_4,4,4,4,1.0,300.0,140.0,triggered
19,exhaustion,-1,4,4,1.0,300.0,140.0,triggered
20,baseline,0,0,4,0.0,250.0,90.0,triggered
20,noise_1,1,0,4,0.0,,,no_replacement
20,noise_2,2,0,4,0.0,,,no_replacement
20,noise_3,3,0,4,0.0,,,no_replacement
20,noise_4,4,0,4,0.0,,,no_replacement
20,exhaustion,-1,0,4,0.0,,,no_replacement
21,baseline,0,0,4,0.0,320.0,160.0,triggered
21,noise_1,1,1,4,0.25,340.0,180.0,triggered
21,noise_2,2,2,4,0.5,360.0,200.0,triggered
21,noise_3,3,3,4,0.75,360.0,200.0,triggered
21,noise_4,4,4,4,1.0,360.0,200.0,triggered
21,exhaustion,-1,4,4,1.0,360.0,200.0,triggered
22,baseline,0,0,4,0.0,250.0,90.0,triggered
22,noise_1,1,1,4,0.25,290.0,130.0,triggered
22,noise_2,2,2,4,0.5,280.0,120.0,triggered
22,noise_3,3,3,4,0.75,290.0,130.0,triggered
22,noise_4,4,4,4,1.0,290.0,130.0,triggered
22,exhaustion,-1,4,4,1.0,290.0,130.0,triggered
23,baseline,0,0,4,0.0,250.0,90.0,triggered
23,noise_1,1,1,4,0.25,270.0,110.0,triggered
23,noise_2,2,2,4,0.5,280.0,120.0,triggered
23,noise_3,3,3,4,0.75,290.0,130.0,triggered
23,noise_4,4,4,4,1.0,290.0,130.0,triggered
23,exhaustion,-1,4,4,1.0,290.0,130.0,triggered
24,baseline,0,0,4,0.0,250.0,90.0,triggered
24,noise_1,1,1,4,0.25,290.0,130.0,triggered
24,noise_2,2,2,4,0.5,290.0,130.0,triggered
24,noise_3,3,3,4,0.75,280.0,120.0,triggered
24,noise_4,4,4,4,1.0,290.0,130.0,triggered
24,exhaustion,-1,4,4,1.0,290.0,130.0,triggered
25,baseline,0,0,5,0.0,330.0,170.0,triggered
25,noise_1,1,1,5,0.2,330.0,170.0,triggered
25,noise_2,2,2,5,0.4,350.0,190.0,triggered
25,noise_3,3,3,5,0.6,370.0,210.0,triggered
25,noise_4,4,4,5,0.8,370.0,210.0,triggered
25,exhaustion,-1,5,5,1.0,370.0,210.0,triggered
26,baseline,0,0,6,0.0,410.0,250.0,triggered
26,noise_1,1,1,6,0.16666666666666666,420.0,260.0,triggered
26,noise_2,2,2,6,0.3333333333333333,430.0,270.0,triggered
26,noise_3,3,3,6,0.5,450.0,290.0,triggered
26,noise_4,4,4,6,0.6666666666666666,440.0,280.0,triggered
26,exhaustion,-1,6,6,1.0,450.0,290.0,triggered
27,baseline,0,0,4,0.0,260.0,100.0,triggered
27,noise_1,1,1,4,0.25,290.0,130.0,triggered
27,noise_2,2,2,4,0.5,280.0,120.0,triggered
27,noise_3,3,3,4,0.75,300.0,140.0,triggered
27,noise_4,4,4,4,1.0,300.0,140.0,triggered
27,exhaustion,-1,4,4,1.0,300.0,140.0,triggered
28,baseline,0,0,4,0.0,330.0,170.0,triggered
28,noise_1,1,1,4,0.25,370.0,210.0,triggered
28,noise_2,2,2,4,0.5,370.0,210.0,triggered
28,noise_3,3,3,4,0.75,370.0,210.0,triggered
28,noise_4,4,4,4,1.0,370.0,210.0,triggered
28,exhaustion,-1,4,4,1.0,370.0,210.0,triggered
29,baseline,0,0,4,0.0,330.0,170.0,triggered
29,noise_1,1,1,4,0.25,370.0,210.0,triggered
29,noise_2,2,2,4,0.5,370.0,210.0,triggered
29,noise_3,3,3,4,0.75,360.0,200.0,triggered
29,noise_4,4,4,4,1.0,370.0,210.0,triggered
29,exhaustion,-1,4,4,1.0,370.0,210.0,triggered
30,baseline,0,0,4,0.0,320.0,160.0,triggered
30,noise_1,1,1,4,0.25,340.0,180.0,triggered
30,noise_2,2,2,4,0.5,410.0,250.0,triggered
30,noise_3,3,3,4,0.75,410.0,250.0,triggered
30,noise_4,4,4,4,1.0,410.0,250.0,triggered
30,exhaustion,-1,4,4,1.0,410.0,250.0,triggered
31,baseline,0,0,4,0.0,250.0,90.0,triggered
31,noise_1,1,0,4,0.0,,,no_replacement
31,noise_2,2,0,4,0.0,,,no_replacement
31,noise_3,3,0,4,0.0,,,no_replacement
31,noise_4,4,0,4,0.0,,,no_replacement
31,exhaustion,-1,0,4,0.0,,,no_replacement
32,baseline,0,0,4,0.0,290.0,130.0,triggered
32,noise_1,1,1,4,0.25,310.0,150.0,triggered
32,noise_2,2,2,4,0.5,330.0,170.0,triggered
32,noise_3,3,3,4,0.75,330.0,170.0,triggered
32,noise_4,4,4,4,1.0,330.0,170.0,triggered
32,exhaustion,-1,4,4,1.0,330.0,170.0,triggered
33,baseline,0,0,4,0.0,250.0,90.0,triggered
33,noise_1,1,0,4,0.0,,,no_replacement
33,noise_2,2,0,4,0.0,,,no_replacement
33,noise_3,3,0,4,0.0,,,no_replacement
33,noise_4,4,0,4,0.0,,,no_replacement
33,exhaustion,-1,0,4,0.0,,,no_replacement
34,baseline,0,0,4,0.0,250.0,90.0,triggered
34,noise_1,1,1,4,0.25,260.0,100.0,triggered
34,noise_2,2,2,4,0.5,280.0,120.0,triggered
34,noise_3,3,3,4,0.75,290.0,130.0,triggered
34,noise_4,4,4,4,1.0,290.0,130.0,triggered
34,exhaustion,-1,4,4,1.0,290.0,130.0,triggered
35,baseline,0,0,4,0.0,280.0,120.0,triggered
35,noise_1,1,1,4,0.25,320.0,160.0,triggered
35,noise_2,2,2,4,0.5,310.0,150.0,triggered
35,noise_3,3,3,4,0.75,320.0,160.0,triggered
35,noise_4,4,4,4,1.0,320.0,160.0,triggered
35,exhaustion,-1,4,4,1.0,320.0,160.0,triggered
36,baseline,0,0,4,0.0,340.0,180.0,triggered
36,noise_1,1,1,4,0.25,370.0,210.0,triggered
36,noise_2,2,2,4,0.5,380.0,220.0,triggered
36,noise_3,3,3,4,0.75,380.0,220.0,triggered
36,noise_4,4,4,4,1.0,380.0,220.0,triggered
36,exhaustion,-1,4,4,1.0,380.0,220.0,triggered
37,baseline,0,0,4,0.0,250.0,90.0,triggered
37,noise_1,1,0,4,0.0,,,no_replacement
37,noise_2,2,0,4,0.0,,,no_replacement
37,noise_3,3,0,4,0.0,,,no_replacement
37,noise_4,4,0,4,0.0,,,no_replacement
37,exhaustion,-1,0,4,0.0,,,no_replacement
38,baseline,0,0,5,0.0,310.0,150.0,triggered
38,noise_1,1,1,5,0.2,320.0,160.0,triggered
38,noise_2,2,2,5,0.4,330.0,170.0,triggered
38,noise_3,3,3,5,0.6,350.0,190.0,triggered
38,noise_4,4,4,5,0.8,340.0,180.0,triggered
38,exhaustion,-1,5,5,1.0,350.0,190.0,triggered
39,baseline,0,0,4,0.0,260.0,100.0,triggered
39,noise_1,1,1,4,0.25,300.0,140.0,triggered
39,noise_2,2,2,4,0.5,290.0,130.0,triggered
39,noise_3,3,3,4,0.75,300.0,140.0,triggered
39,noise_4,4,4,4,1.0,300.0,140.0,triggered
39,exhaustion,-1,4,4,1.0,300.0,140.0,triggered
40,baseline,0,0,4,0.0,270.0,110.0,triggered
40,noise_1,1,1,4,0.25,290.0,130.0,triggered
40,noise_2,2,2,4,0.5,300.0,140.0,triggered
40,noise_3,3,3,4,0.75,310.0,150.0,triggered
40,noise_4,4,4,4,1.0,310.0,150.0,triggered
40,exhaustion,-1,4,4,1.0,310.0,150.0,triggered
41,baseline,0,0,5,0.0,350.0,190.0,triggered
41,noise_1,1,1,5,0.2,380.0,220.0,triggered
41,noise_2,2,2,5,0.4,390.0,230.0,triggered
41,noise_3,3,3,5,0.6,390.0,230.0,triggered
41,noise_4,4,4,5,0.8,390.0,230.0,triggered
41,exhaustion,-1,5,5,1.0,390.0,230.0,triggered
42,baseline,0,0,4,0.0,320.0,160.0,triggered
42,noise_1,1,1,4,0.25,350.0,190.0,triggered
42,noise_2,2,2,4,0.5,360.0,200.0,triggered
42,noise_3,3,3,4,0.75,360.0,200.0,triggered
42,noise_4,4,4,4,1.0,360.0,200.0,triggered
42,exhaustion,-1,4,4,1.0,360.0,200.0,triggered
43,baseline,0,0,4,0.0,340.0,180.0,triggered
43,noise_1,1,1,4,0.25,380.0,220.0,triggered
43,noise_2,2,2,4,0.5,370.0,210.0,triggered
43,noise_3,3,3,4,0.75,370.0,210.0,triggered
43,noise_4,4,4,4,1.0,380.0,220.0,triggered
43,exhaustion,-1,4,4,1.0,380.0,220.0,triggered
44,baseline,0,0,4,0.0,250.0,90.0,triggered
44,noise_1,1,1,4,0.25,270.0,110.0,triggered
44,noise_2,2,2,4,0.5,280.0,120.0,triggered
44,noise_3,3,3,4,0.75,290.0,130.0,triggered
44,noise_4,4,4,4,1.0,290.0,130.0,triggered
44,exhaustion,-1,4,4,1.0,290.0,130.0,triggered
45,baseline,0,0,4,0.0,250.0,90.0,triggered
45,noise_1,1,0,4,0.0,,,no_replacement
45,noise_2,2,0,4,0.0,,,no_replacement
45,noise_3,3,0,4,0.0,,,no_replacement
