run_id,mode,requested_block,actual_block_size,attack_start_window,attack_end_window,recovery_start_window,relock_status,relock_window,relock_sample,relock_time_windows,relock_time_samples,max_recovered_lock,baseline_duration,residual_damage
38,block_3,3,3,52.0,54.0,55.0,relocked,64.0,740.0,10.0,100.0,22,60.0,0.6333333333333333
38,block_5,5,5,51.0,55.0,56.0,relocked,65.0,750.0,10.0,100.0,21,60.0,0.65
38,block_10,10,10,49.0,58.0,59.0,relocked,68.0,780.0,10.0,100.0,18,60.0,0.7
39,block_3,3,3,50.0,52.0,53.0,relocked,62.0,720.0,10.0,100.0,24,65.0,0.6307692307692307
39,block_5,5,5,49.0,53.0,54.0,relocked,63.0,730.0,10.0,100.0,23,65.0,0.6461538461538461
39,block_10,10,10,46.0,55.0,56.0,relocked,65.0,750.0,10.0,100.0,21,65.0,0.676923076923077
40,block_3,3,3,50.0,52.0,53.0,relocked,62.0,720.0,10.0,100.0,24,64.0,0.625
40,block_5,5,5,49.0,53.0,54.0,relocked,63.0,730.0,10.0,100.0,23,64.0,0.640625
40,block_10,10,10,47.0,56.0,57.0,relocked,66.0,760.0,10.0,100.0,20,64.0,0.6875
41,block_3,3,3,67.0,69.0,70.0,relocked,79.0,890.0,10.0,100.0,7,26.0,0.7307692307692308
41,block_5,5,5,66.0,70.0,71.0,relocked,80.0,900.0,10.0,100.0,6,26.0,0.7692307692307692
41,block_10,10,10,63.0,72.0,73.0,relocked,82.0,920.0,10.0,100.0,4,26.0,0.8461538461538461
42,block_3,3,3,53.0,55.0,56.0,relocked,65.0,750.0,10.0,100.0,21,59.0,0.6440677966101696
42,block_5,5,5,52.0,56.0,57.0,relocked,66.0,760.0,10.0,100.0,20,59.0,0.6610169491525424
42,block_10,10,10,49.0,58.0,59.0,relocked,68.0,780.0,10.0,100.0,18,59.0,0.6949152542372881
43,block_3,3,3,43.0,45.0,46.0,relocked,55.0,650.0,10.0,100.0,10,36.0,0.7222222222222222
43,block_5,5,5,42.0,46.0,47.0,relocked,56.0,660.0,10.0,100.0,10,36.0,0.7222222222222222
43,block_10,10,10,40.0,49.0,50.0,relocked,59.0,690.0,10.0,100.0,10,36.0,0.7222222222222222
44,block_3,3,3,47.0,49.0,50.0,relocked,59.0,690.0,10.0,100.0,23,62.0,0.6290322580645161
44,block_5,5,5,46.0,50.0,51.0,relocked,60.0,700.0,10.0,100.0,22,62.0,0.6451612903225806
44,block_10,10,10,44.0,53.0,54.0,relocked,63.0,730.0,10.0,100.0,19,62.0,0.6935483870967742
45,block_3,3,0,,,,no_replacement,,,,,0,66.0,1.0
45,block_5,5,0,,,,no_replacement,,,,,0,66.0,1.0
45,block_10,10,0,,,,no_replacement,,,,,0,66.0,1.0
46,block_3,3,0,,,,no_replacement,,,,,0,66.0,1.0
46,block_5,5,0,,,,no_replacement,,,,,0,66.0,1.0
46,block_10,10,0,,,,no_replacement,,,,,0,66.0,1.0
47,block_3,3,3,50.0,52.0,53.0,relocked,62.0,720.0,10.0,100.0,24,64.0,0.625
47,block_5,5,5,49.0,53.0,54.0,relocked,63.0,730.0,10.0,100.0,23,64.0,0.640625
47,block_10,10,10,47.0,56.0,57.0,relocked,66.0,760.0,10.0,100.0,20,64.0,0.6875
48,block_3,3,3,42.0,44.0,45.0,relocked,54.0,640.0,10.0,100.0,15,46.0,0.6739130434782609
48,block_5,5,5,41.0,45.0,46.0,relocked,55.0,650.0,10.0,100.0,14,46.0,0.6956521739130435
48,block_10,10,10,39.0,48.0,49.0,relocked,58.0,680.0,10.0,100.0,11,46.0,0.7608695652173914
49,block_3,3,3,62.0,64.0,65.0,relocked,74.0,840.0,10.0,100.0,12,36.0,0.6666666666666667
49,block_5,5,5,61.0,65.0,66.0,relocked,75.0,850.0,10.0,100.0,11,36.0,0.6944444444444444
49,block_10,10,10,58.0,67.0,68.0,relocked,77.0,870.0,10.0,100.0,9,36.0,0.75
50,block_3,3,3,56.0,58.0,59.0,relocked,68.0,780.0,10.0,100.0,18,52.0,0.6538461538461539
50,block_5,5,5,55.0,59.0,60.0,relocked,69.0,790.0,10.0,100.0,17,52.0,0.6730769230769231
50,block_10,10,10,53.0,62.0,63.0,relocked,72.0,820.0,10.0,100.0,14,52.0,0.7307692307692308
