run_id,mode,requested_block,actual_block_size,segment_length,block_fraction,trigger_sample,locked_fraction,max_locked_duration,maintenance_survived,status
19,block_10,10,10,57,0.17543859649122806,260,0.48,19,True,triggered
19,maintenance_exhaustion,-1,68,68,1.0,260,0.0,0,False,triggered
20,block_1,1,0,0,0.0,250,0.88,66,False,no_replacement
20,block_2,2,0,0,0.0,250,0.88,66,False,no_replacement
20,block_3,3,0,0,0.0,250,0.88,66,False,no_replacement
20,block_5,5,0,0,0.0,250,0.88,66,False,no_replacement
20,block_10,10,0,0,0.0,250,0.88,66,False,no_replacement
20,maintenance_exhaustion,-1,0,0,0.0,250,0.88,66,False,no_replacement
21,block_1,1,1,55,0.01818181818181818,320,0.52,18,True,triggered
21,block_2,2,2,55,0.03636363636363636,320,0.5066666666666667,18,True,triggered
21,block_3,3,3,55,0.05454545454545454,320,0.49333333333333335,17,True,triggered
21,block_5,5,5,55,0.09090909090909091,320,0.4666666666666667,16,True,triggered
21,block_10,10,10,55,0.18181818181818182,320,0.4,14,True,triggered
21,maintenance_exhaustion,-1,62,62,1.0,320,0.0,0,False,triggered
22,block_1,1,1,22,0.045454545454545456,250,0.22666666666666666,7,True,triggered
22,block_2,2,2,22,0.09090909090909091,250,0.21333333333333335,7,True,triggered
22,block_3,3,3,22,0.13636363636363635,250,0.2,7,True,triggered
22,block_5,5,5,22,0.22727272727272727,250,0.17333333333333334,7,False,triggered
22,block_10,10,10,22,0.45454545454545453,250,0.14666666666666667,7,False,triggered
22,maintenance_exhaustion,-1,49,49,1.0,250,0.0,0,False,triggered
23,block_1,1,1,39,0.02564102564102564,250,0.4533333333333333,10,True,triggered
23,block_2,2,2,39,0.05128205128205128,250,0.44,10,True,triggered
23,block_3,3,3,39,0.07692307692307693,250,0.4266666666666667,10,True,triggered
23,block_5,5,5,39,0.1282051282051282,250,0.4,10,True,triggered
23,block_10,10,10,39,0.2564102564102564,250,0.3333333333333333,10,True,triggered
23,maintenance_exhaustion,-1,66,66,1.0,250,0.0,0,False,triggered
24,block_1,1,1,52,0.019230769230769232,250,0.5066666666666667,21,True,triggered
24,block_2,2,2,52,0.038461538461538464,250,0.49333333333333335,21,True,triggered
24,block_3,3,3,52,0.057692307692307696,250,0.48,20,True,triggered
24,block_5,5,5,52,0.09615384615384616,250,0.4533333333333333,19,True,triggered
24,block_10,10,10,52,0.19230769230769232,250,0.38666666666666666,17,True,triggered
24,maintenance_exhaustion,-1,60,60,1.0,250,0.0,0,False,triggered
25,block_1,1,1,56,0.017857142857142856,330,0.56,23,True,triggered
25,block_2,2,2,56,0.03571428571428571,330,0.5466666666666666,23,True,triggered
25,block_3,3,3,56,0.05357142857142857,330,0.5333333333333333,22,True,triggered
25,block_5,5,5,56,0.08928571428571429,330,0.5066666666666667,21,True,triggered
25,block_10,10,10,56,0.17857142857142858,330,0.44,19,True,triggered
25,maintenance_exhaustion,-1,56,56,1.0,330,0.0,0,False,triggered
26,block_1,1,1,54,0.018518518518518517,410,0.5333333333333333,22,True,triggered
26,block_2,2,2,54,0.037037037037037035,410,0.52,22,True,triggered
26,block_3,3,3,54,0.05555555555555555,410,0.5066666666666667,21,True,triggered
26,block_5,5,5,54,0.09259259259259259,410,0.48,20,True,triggered
26,block_10,10,10,54,0.18518518518518517,410,0.41333333333333333,18,True,triggered
26,maintenance_exhaustion,-1,54,54,1.0,410,0.0,0,False,triggered
27,block_1,1,1,69,0.014492753623188406,260,0.7333333333333333,30,True,triggered
27,block_2,2,2,69,0.028985507246376812,260,0.72,29,True,triggered
27,block_3,3,3,69,0.043478260869565216,260,0.7066666666666667,29,True,triggered
27,block_5,5,5,69,0.07246376811594203,260,0.68,28,True,triggered
27,block_10,10,10,69,0.14492753623188406,260,0.6133333333333333,25,True,triggered
27,maintenance_exhaustion,-1,69,69,1.0,260,0.0,0,False,triggered
28,block_1,1,1,62,0.016129032258064516,330,0.64,26,True,triggered
28,block_2,2,2,62,0.03225806451612903,330,0.6266666666666667,26,True,triggered
28,block_3,3,3,62,0.04838709677419355,330,0.6133333333333333,25,True,triggered
28,block_5,5,5,62,0.08064516129032258,330,0.5866666666666667,24,True,triggered
28,block_10,10,10,62,0.16129032258064516,330,0.52,22,True,triggered
28,maintenance_exhaustion,-1,62,62,1.0,330,0.0,0,False,triggered
29,block_1,1,1,40,0.025,330,0.49333333333333335,16,True,triggered
29,block_2,2,2,40,0.05,330,0.48,16,True,triggered
29,block_3,3,3,40,0.075,330,0.4666666666666667,16,True,triggered
29,block_5,5,5,40,0.125,330,0.44,16,True,triggered
29,block_10,10,10,40,0.25,330,0.37333333333333335,16,True,triggered
29,maintenance_exhaustion,-1,60,60,1.0,330,0.0,0,False,triggered
30,block_1,1,1,42,0.023809523809523808,320,0.32,12,True,triggered
30,block_2,2,2,42,0.047619047619047616,320,0.30666666666666664,11,True,triggered
30,block_3,3,3,42,0.07142857142857142,320,0.29333333333333333,11,True,triggered
30,block_5,5,5,42,0.11904761904761904,320,0.26666666666666666,10,True,triggered
30,block_10,10,10,42,0.23809523809523808,320,0.2,7,False,triggered
30,maintenance_exhaustion,-1,54,54,1.0,320,0.0,0,False,triggered
31,block_1,1,0,0,0.0,250,0.88,66,False,no_replacement
31,block_2,2,0,0,0.0,250,0.88,66,False,no_replacement
31,block_3,3,0,0,0.0,250,0.88,66,False,no_replacement
31,block_5,5,0,0,0.0,250,0.88,66,False,no_replacement
31,block_10,10,0,0,0.0,250,0.88,66,False,no_replacement
31,maintenance_exhaustion,-1,0,0,0.0,250,0.88,66,False,no_replacement
32,block_1,1,1,48,0.020833333333333332,290,0.48,15,True,triggered
32,block_2,2,2,48,0.041666666666666664,290,0.4666666666666667,14,True,triggered
32,block_3,3,3,48,0.0625,290,0.4533333333333333,14,True,triggered
32,block_5,5,5,48,0.10416666666666667,290,0.4266666666666667,13,True,triggered
32,block_10,10,10,48,0.20833333333333334,290,0.36,10,True,triggered
32,maintenance_exhaustion,-1,61,61,1.0,290,0.0,0,False,triggered
33,block_1,1,0,0,0.0,250,0.88,66,False,no_replacement
33,block_2,2,0,0,0.0,250,0.88,66,False,no_replacement
33,block_3,3,0,0,0.0,250,0.88,66,False,no_replacement
33,block_5,5,0,0,0.0,250,0.88,66,False,no_replacement
33,block_10,10,0,0,0.0,250,0.88,66,False,no_replacement
33,maintenance_exhaustion,-1,0,0,0.0,250,0.88,66,False,no_replacement
34,block_1,1,1,69,0.014492753623188406,250,0.7333333333333333,30,True,triggered
34,block_2,2,2,69,0.028985507246376812,250,0.72,29,True,triggered
34,block_3,3,3,69,0.043478260869565216,250,0.7066666666666667,29,True,triggered
34,block_5,5,5,69,0.07246376811594203,250,0.68,28,True,triggered
34,block_10,10,10,69,0.14492753623188406,250,0.6133333333333333,25,True,triggered
34,maintenance_exhaustion,-1,69,69,1.0,250,0.0,0,False,triggered
35,block_1,1,1,40,0.025,280,0.4266666666666667,11,True,triggered
35,block_2,2,2,40,0.05,280,0.41333333333333333,11,True,triggered
35,block_3,3,3,40,0.075,280,0.4,11,True,triggered
35,block_5,5,5,40,0.125,280,0.37333333333333335,11,True,triggered
35,block_10,10,10,40,0.25,280,0.30666666666666664,11,True,triggered
35,maintenance_exhaustion,-1,55,55,1.0,280,0.0,0,False,triggered
36,block_1,1,1,39,0.02564102564102564,340,0.4666666666666667,15,True,triggered
36,block_2,2,2,39,0.05128205128205128,340,0.4533333333333333,14,True,triggered
36,block_3,3,3,39,0.07692307692307693,340,0.44,14,True,triggered
36,block_5,5,5,39,0.1282051282051282,340,0.41333333333333333,13,True,triggered
36,block_10,10,10,39,0.2564102564102564,340,0.3466666666666667,10,True,triggered
36,maintenance_exhaustion,-1,58,58,1.0,340,0.0,0,False,triggered
37,block_1,1,0,0,0.0,250,0.88,66,False,no_replacement
37,block_2,2,0,0,0.0,250,0.88,66,False,no_replacement
37,block_3,3,0,0,0.0,250,0.88,66,False,no_replacement
37,block_5,5,0,0,0.0,250,0.88,66,False,no_replacement
37,block_10,10,0,0,0.0,250,0.88,66,False,no_replacement
37,maintenance_exhaustion,-1,0,0,0.0,250,0.88,66,False,no_replacement
38,block_1,1,1,64,0.015625,310,0.6666666666666666,27,True,triggered
38,block_2,2,2,64,0.03125,310,0.6533333333333333,27,True,triggered
38,block_3,3,3,64,0.046875,310,0.64,26,True,triggered
38,block_5,5,5,64,0.078125,310,0.6133333333333333,25,True,triggered
38,block_10,10,10,64,0.15625,310,0.5466666666666666,23,True,triggered
38,maintenance_exhaustion,-1,64,64,1.0,310,0.0,0,False,triggered
39,block_1,1,1,69,0.014492753623188406,260,0.7333333333333333,30,True,triggered
39,block_2,2,2,69,0.028985507246376812,260,0.72,29,True,triggered
39,block_3,3,3,69,0.043478260869565216,260,0.7066666666666667,29,True,triggered
39,block_5,5,5,69,0.07246376811594203,260,0.68,28,True,triggered
39,block_10,10,10,69,0.14492753623188406,260,0.6133333333333333,25,True,triggered
39,maintenance_exhaustion,-1,69,69,1.0,260,0.0,0,False,triggered
40,block_1,1,1,68,0.014705882352941176,270,0.72,29,True,triggered
40,block_2,2,2,68,0.029411764705882353,270,0.7066666666666667,29,True,triggered
40,block_3,3,3,68,0.04411764705882353,270,0.6933333333333334,28,True,triggered
40,block_5,5,5,68,0.07352941176470588,270,0.6666666666666666,27,True,triggered
40,block_10,10,10,68,0.14705882352941177,270,0.6,25,True,triggered
40,maintenance_exhaustion,-1,68,68,1.0,270,0.0,0,False,triggered
41,block_1,1,1,35,0.02857142857142857,350,0.4666666666666667,19,True,triggered
41,block_2,2,2,35,0.05714285714285714,350,0.4533333333333333,19,True,triggered
41,block_3,3,3,35,0.08571428571428572,350,0.44,19,True,triggered
41,block_5,5,5,35,0.14285714285714285,350,0.41333333333333333,19,True,triggered
41,block_10,10,10,35,0.2857142857142857,350,0.3466666666666667,19,True,triggered
41,maintenance_exhaustion,-1,58,58,1.0,350,0.0,0,False,triggered
42,block_1,1,1,63,0.015873015873015872,320,0.6533333333333333,27,True,triggered
42,block_2,2,2,63,0.031746031746031744,320,0.64,26,True,triggered
42,block_3,3,3,63,0.047619047619047616,320,0.6266666666666667,26,True,triggered
42,block_5,5,5,63,0.07936507936507936,320,0.6,25,True,triggered
42,block_10,10,10,63,0.15873015873015872,320,0.5333333333333333,22,True,triggered
42,maintenance_exhaustion,-1,63,63,1.0,320,0.0,0,False,triggered
43,block_1,1,1,40,0.025,340,0.48,15,True,triggered
43,block_2,2,2,40,0.05,340,0.4666666666666667,15,True,triggered
43,block_3,3,3,40,0.075,340,0.4533333333333333,14,True,triggered
43,block_5,5,5,40,0.125,340,0.4266666666666667,13,True,triggered
43,block_10,10,10,40,0.25,340,0.36,11,True,triggered
43,maintenance_exhaustion,-1,59,59,1.0,340,0.0,0,False,triggered
44,block_1,1,1,66,0.015151515151515152,250,0.6933333333333334,28,True,triggered
44,block_2,2,2,66,0.030303030303030304,250,0.68,28,True,triggered
44,block_3,3,3,66,0.045454545454545456,250,0.6666666666666666,27,True,triggered
44,block_5,5,5,66,0.07575757575757576,250,0.64,26,True,triggered
44,block_10,10,10,66,0.15151515151515152,250,0.5733333333333334,24,True,triggered
44,maintenance_exhaustion,-1,66,66,1.0,250,0.0,0,False,triggered
45,block_1,1,0,0,0.0,250,0.88,66,False,no_replacement
45,block_2,2,0,0,0.0,250,0.88,66,False,no_replacement
45,block_3,3,0,0,0.0,250,0.88,66,False,no_replacement
45,block_5,5,0,0,0.0,250,0.88,66,False,no_replacement
45,block_10,10,0,0,0.0,250,0.88,66,False,no_replacement
