run_id,mode,requested_block,actual_block_size,attack_start_window,attack_end_window,recovery_start_window,relock_status,relock_window,relock_time_windows,relock_time_samples,recovery_horizon,horizon_margin
37,block_30,30,0,,,,no_replacement,,,,,
38,block_15,15,15,46.0,60.0,61.0,relocked,70.0,10.0,100.0,25.0,2.5
38,block_20,20,20,44.0,63.0,64.0,relocked,73.0,10.0,100.0,22.0,2.2
38,block_30,30,30,39.0,68.0,69.0,relocked,78.0,10.0,100.0,17.0,1.7
39,block_15,15,15,44.0,58.0,59.0,relocked,68.0,10.0,100.0,27.0,2.7
39,block_20,20,20,41.0,60.0,61.0,relocked,70.0,10.0,100.0,25.0,2.5
39,block_30,30,30,36.0,65.0,66.0,relocked,75.0,10.0,100.0,20.0,2.0
40,block_15,15,15,44.0,58.0,59.0,relocked,68.0,10.0,100.0,27.0,2.7
40,block_20,20,20,42.0,61.0,62.0,relocked,71.0,10.0,100.0,24.0,2.4
40,block_30,30,30,37.0,66.0,67.0,relocked,76.0,10.0,100.0,19.0,1.9
41,block_15,15,15,61.0,75.0,76.0,relocked,85.0,10.0,100.0,10.0,1.0
41,block_20,20,20,58.0,77.0,78.0,no_relock,,,,8.0,0.8
41,block_30,30,30,53.0,82.0,83.0,no_relock,,,,3.0,0.3
42,block_15,15,15,47.0,61.0,62.0,relocked,71.0,10.0,100.0,24.0,2.4
42,block_20,20,20,44.0,63.0,64.0,relocked,73.0,10.0,100.0,22.0,2.2
42,block_30,30,30,39.0,68.0,69.0,relocked,78.0,10.0,100.0,17.0,1.7
43,block_15,15,15,37.0,51.0,52.0,relocked,61.0,10.0,100.0,34.0,3.4
43,block_20,20,20,35.0,54.0,55.0,relocked,64.0,10.0,100.0,31.0,3.1
43,block_30,30,30,30.0,59.0,60.0,relocked,76.0,17.0,170.0,26.0,2.6
44,block_15,15,15,41.0,55.0,56.0,relocked,65.0,10.0,100.0,30.0,3.0
44,block_20,20,20,39.0,58.0,59.0,relocked,68.0,10.0,100.0,27.0,2.7
44,block_30,30,30,34.0,63.0,64.0,relocked,73.0,10.0,100.0,22.0,2.2
45,block_15,15,0,,,,no_replacement,,,,,
45,block_20,20,0,,,,no_replacement,,,,,
45,block_30,30,0,,,,no_replacement,,,,,
46,block_15,15,0,,,,no_replacement,,,,,
46,block_20,20,0,,,,no_replacement,,,,,
46,block_30,30,0,,,,no_replacement,,,,,
47,block_15,15,15,44.0,58.0,59.0,relocked,68.0,10.0,100.0,27.0,2.7
47,block_20,20,20,42.0,61.0,62.0,relocked,71.0,10.0,100.0,24.0,2.4
47,block_30,30,30,37.0,66.0,67.0,relocked,76.0,10.0,100.0,19.0,1.9
48,block_15,15,15,36.0,50.0,51.0,relocked,60.0,10.0,100.0,35.0,3.5
48,block_20,20,20,34.0,53.0,54.0,relocked,63.0,10.0,100.0,32.0,3.2
48,block_30,30,30,29.0,58.0,59.0,relocked,68.0,10.0,100.0,27.0,2.7
49,block_15,15,15,56.0,70.0,71.0,relocked,80.0,10.0,100.0,15.0,1.5
49,block_20,20,20,53.0,72.0,73.0,relocked,82.0,10.0,100.0,13.0,1.3
49,block_30,30,30,48.0,77.0,78.0,no_relock,,,,8.0,0.8
50,block_15,15,15,50.0,64.0,65.0,relocked,74.0,10.0,100.0,21.0,2.1
50,block_20,20,20,48.0,67.0,68.0,relocked,77.0,10.0,100.0,18.0,1.8
50,block_30,30,30,43.0,72.0,73.0,relocked,82.0,10.0,100.0,13.0,1.3
