run_id,population,attack_mode,relock_rate,relock_time,quality_score,locked_fraction,drop_rate,quality_class
41,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
41,A,block_20,0.0,,0.0,0.0,1.0,collapse
42,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
42,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
42,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
42,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
42,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
43,A,block_3,1.0,10.0,0.4162330905306972,0.6451612903225806,0.3548387096774194,fragile
43,A,block_5,1.0,10.0,0.4011111111111111,0.6333333333333333,0.36666666666666664,fragile
43,A,block_10,1.0,10.0,0.3511659807956104,0.5925925925925926,0.4074074074074074,fragile
43,A,block_15,1.0,10.0,0.31360000000000005,0.56,0.44,fragile
43,A,block_20,1.0,10.0,0.25,0.5,0.5,collapse
44,A,block_3,1.0,10.0,0.7256515775034293,0.8518518518518519,0.14814814814814814,stable
44,A,block_5,1.0,10.0,0.7159763313609467,0.8461538461538461,0.15384615384615385,stable
44,A,block_10,1.0,10.0,0.6824196597353497,0.8260869565217391,0.17391304347826086,fragile
44,A,block_15,1.0,10.0,0.655328798185941,0.8095238095238095,0.19047619047619047,fragile
44,A,block_20,1.0,10.0,0.6049382716049383,0.7777777777777778,0.2222222222222222,fragile
45,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
45,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
45,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
45,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
45,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
46,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
46,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
46,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
46,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
46,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
47,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
47,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
47,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
47,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
47,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
