run_id,is_collapse,baseline_locked_fraction,baseline_max_duration,n_locked_segments,mean_locked_duration,target_pair_frequency,trigger_window,trigger_delay,quality_score,drop_rate,stable_count,fragile_count,collapse_count,recovery_horizon,horizon_margin,labels
29,False,0.6266666666666667,31,2,23.5,0.8666666666666667,23,170,1.0,0.0,3.0,0.0,0.0,9.333333333333334,0.9333333333333332,weak_lock;late_trigger
30,True,0.4533333333333333,33,2,17.0,0.7866666666666666,22,160,0.15358845870309715,0.6102292768959435,0.0,0.0,3.0,27.333333333333332,2.733333333333333,weak_lock;recovery_fragile
31,False,0.88,66,1,66.0,1.0,15,90,,,,,,,,none
32,False,0.6133333333333333,39,2,23.0,0.88,19,130,1.0,0.0,3.0,0.0,0.0,13.333333333333334,1.3333333333333333,weak_lock
33,False,0.88,66,1,66.0,1.0,15,90,,,,,,,,none
34,False,0.8666666666666667,65,1,65.0,0.9866666666666667,15,90,0.9170532675237221,0.04237373737373734,3.0,0.0,0.0,25.0,2.5,none
35,False,0.56,31,2,21.0,0.8,18,120,1.0,0.0,3.0,0.0,0.0,9.333333333333334,0.9333333333333332,weak_lock
36,False,0.6,35,2,22.5,0.84,24,180,0.3540603254829507,0.4052227342549923,0.0,3.0,0.0,31.0,3.1,weak_lock;late_trigger;recovery_fragile
37,False,0.88,66,1,66.0,1.0,15,90,,,,,,,,none
38,False,0.8,60,1,60.0,0.9333333333333333,21,150,1.0,0.0,3.0,0.0,0.0,21.333333333333332,2.1333333333333333,none
39,False,0.8666666666666667,65,1,65.0,0.9866666666666667,16,100,1.0,0.0,3.0,0.0,0.0,24.0,2.4,none
40,False,0.8533333333333334,64,1,64.0,0.9733333333333334,17,110,1.0,0.0,3.0,0.0,0.0,23.333333333333332,2.3333333333333335,none
41,False,0.6,26,2,22.5,0.8533333333333334,25,190,1.0,0.0,3.0,0.0,0.0,7.0,0.7000000000000001,weak_lock;late_trigger
42,False,0.7866666666666666,59,1,59.0,0.9066666666666666,22,160,1.0,0.0,3.0,0.0,0.0,21.0,2.1,none
43,False,0.6133333333333333,36,2,23.0,0.8533333333333334,24,180,0.3895033941458062,0.3763042612504978,0.0,3.0,0.0,30.333333333333332,3.033333333333333,weak_lock;late_trigger;recovery_fragile
44,False,0.8266666666666667,62,1,62.0,0.9466666666666667,15,90,0.7080158561999087,0.15863578182418756,2.0,1.0,0.0,26.333333333333332,2.6333333333333333,recovery_fragile
45,False,0.88,66,1,66.0,1.0,15,90,,,,,,,,none
46,False,0.88,66,1,66.0,1.0,15,90,,,,,,,,none
47,False,0.8533333333333334,64,1,64.0,0.9733333333333334,17,110,1.0,0.0,3.0,0.0,0.0,23.333333333333332,2.3333333333333335,none
48,True,0.64,46,2,24.0,0.88,18,120,0.25472565497648064,0.4961117511520737,0.0,0.0,3.0,31.333333333333332,3.1333333333333333,weak_lock;recovery_fragile
49,False,0.72,36,2,27.0,0.96,15,90,1.0,0.0,3.0,0.0,0.0,12.0,1.2,none
50,False,0.6933333333333334,52,1,52.0,0.8666666666666667,29,230,1.0,0.0,3.0,0.0,0.0,17.333333333333332,1.7333333333333334,late_trigger
