run_id,attack_size,n_target_windows,effective_replace,exhausted_fraction,trigger_sample,delay,status
19,30,4,4,1.0,300,140,triggered
19,40,4,4,1.0,300,140,triggered
19,50,4,4,1.0,300,140,triggered
19,all_pre_trigger,4,4,1.0,300,140,triggered
20,10,0,0,0.0,250,90,no_replacement
20,20,0,0,0.0,250,90,no_replacement
20,30,0,0,0.0,250,90,no_replacement
20,40,0,0,0.0,250,90,no_replacement
20,50,0,0,0.0,250,90,no_replacement
20,all_pre_trigger,0,0,0.0,250,90,no_replacement
21,10,4,4,1.0,360,200,triggered
21,20,4,4,1.0,360,200,triggered
21,30,4,4,1.0,360,200,triggered
21,40,4,4,1.0,360,200,triggered
21,50,4,4,1.0,360,200,triggered
21,all_pre_trigger,4,4,1.0,360,200,triggered
22,10,4,4,1.0,290,130,triggered
22,20,4,4,1.0,290,130,triggered
22,30,4,4,1.0,290,130,triggered
22,40,4,4,1.0,290,130,triggered
22,50,4,4,1.0,290,130,triggered
22,all_pre_trigger,4,4,1.0,290,130,triggered
23,10,4,4,1.0,290,130,triggered
23,20,4,4,1.0,290,130,triggered
23,30,4,4,1.0,290,130,triggered
23,40,4,4,1.0,290,130,triggered
23,50,4,4,1.0,290,130,triggered
23,all_pre_trigger,4,4,1.0,290,130,triggered
24,10,4,4,1.0,290,130,triggered
24,20,4,4,1.0,290,130,triggered
24,30,4,4,1.0,290,130,triggered
24,40,4,4,1.0,290,130,triggered
24,50,4,4,1.0,290,130,triggered
24,all_pre_trigger,4,4,1.0,290,130,triggered
25,10,5,5,1.0,370,210,triggered
25,20,5,5,1.0,370,210,triggered
25,30,5,5,1.0,370,210,triggered
25,40,5,5,1.0,370,210,triggered
25,50,5,5,1.0,370,210,triggered
25,all_pre_trigger,5,5,1.0,370,210,triggered
26,10,6,6,1.0,450,290,triggered
26,20,6,6,1.0,450,290,triggered
26,30,6,6,1.0,450,290,triggered
26,40,6,6,1.0,450,290,triggered
26,50,6,6,1.0,450,290,triggered
26,all_pre_trigger,6,6,1.0,450,290,triggered
27,10,4,4,1.0,300,140,triggered
27,20,4,4,1.0,300,140,triggered
27,30,4,4,1.0,300,140,triggered
27,40,4,4,1.0,300,140,triggered
27,50,4,4,1.0,300,140,triggered
27,all_pre_trigger,4,4,1.0,300,140,triggered
28,10,4,4,1.0,370,210,triggered
28,20,4,4,1.0,370,210,triggered
28,30,4,4,1.0,370,210,triggered
28,40,4,4,1.0,370,210,triggered
28,50,4,4,1.0,370,210,triggered
28,all_pre_trigger,4,4,1.0,370,210,triggered
29,10,4,4,1.0,370,210,triggered
29,20,4,4,1.0,370,210,triggered
29,30,4,4,1.0,370,210,triggered
29,40,4,4,1.0,370,210,triggered
29,50,4,4,1.0,370,210,triggered
29,all_pre_trigger,4,4,1.0,370,210,triggered
30,10,4,4,1.0,410,250,triggered
30,20,4,4,1.0,410,250,triggered
30,30,4,4,1.0,410,250,triggered
30,40,4,4,1.0,410,250,triggered
30,50,4,4,1.0,410,250,triggered
30,all_pre_trigger,4,4,1.0,410,250,triggered
31,10,0,0,0.0,250,90,no_replacement
31,20,0,0,0.0,250,90,no_replacement
31,30,0,0,0.0,250,90,no_replacement
31,40,0,0,0.0,250,90,no_replacement
31,50,0,0,0.0,250,90,no_replacement
31,all_pre_trigger,0,0,0.0,250,90,no_replacement
32,10,4,4,1.0,330,170,triggered
32,20,4,4,1.0,330,170,triggered
32,30,4,4,1.0,330,170,triggered
32,40,4,4,1.0,330,170,triggered
32,50,4,4,1.0,330,170,triggered
32,all_pre_trigger,4,4,1.0,330,170,triggered
33,10,0,0,0.0,250,90,no_replacement
33,20,0,0,0.0,250,90,no_replacement
33,30,0,0,0.0,250,90,no_replacement
33,40,0,0,0.0,250,90,no_replacement
33,50,0,0,0.0,250,90,no_replacement
33,all_pre_trigger,0,0,0.0,250,90,no_replacement
34,10,4,4,1.0,290,130,triggered
34,20,4,4,1.0,290,130,triggered
34,30,4,4,1.0,290,130,triggered
34,40,4,4,1.0,290,130,triggered
34,50,4,4,1.0,290,130,triggered
34,all_pre_trigger,4,4,1.0,290,130,triggered
35,10,4,4,1.0,320,160,triggered
35,20,4,4,1.0,320,160,triggered
35,30,4,4,1.0,320,160,triggered
35,40,4,4,1.0,320,160,triggered
35,50,4,4,1.0,320,160,triggered
35,all_pre_trigger,4,4,1.0,320,160,triggered
36,10,4,4,1.0,380,220,triggered
36,20,4,4,1.0,380,220,triggered
36,30,4,4,1.0,380,220,triggered
36,40,4,4,1.0,380,220,triggered
36,50,4,4,1.0,380,220,triggered
36,all_pre_trigger,4,4,1.0,380,220,triggered
37,10,0,0,0.0,250,90,no_replacement
37,20,0,0,0.0,250,90,no_replacement
37,30,0,0,0.0,250,90,no_replacement
37,40,0,0,0.0,250,90,no_replacement
37,50,0,0,0.0,250,90,no_replacement
37,all_pre_trigger,0,0,0.0,250,90,no_replacement
38,10,5,5,1.0,350,190,triggered
38,20,5,5,1.0,350,190,triggered
38,30,5,5,1.0,350,190,triggered
38,40,5,5,1.0,350,190,triggered
38,50,5,5,1.0,350,190,triggered
38,all_pre_trigger,5,5,1.0,350,190,triggered
39,10,4,4,1.0,300,140,triggered
39,20,4,4,1.0,300,140,triggered
39,30,4,4,1.0,300,140,triggered
39,40,4,4,1.0,300,140,triggered
39,50,4,4,1.0,300,140,triggered
39,all_pre_trigger,4,4,1.0,300,140,triggered
40,10,4,4,1.0,310,150,triggered
40,20,4,4,1.0,310,150,triggered
40,30,4,4,1.0,310,150,triggered
40,40,4,4,1.0,310,150,triggered
40,50,4,4,1.0,310,150,triggered
40,all_pre_trigger,4,4,1.0,310,150,triggered
41,10,5,5,1.0,390,230,triggered
41,20,5,5,1.0,390,230,triggered
41,30,5,5,1.0,390,230,triggered
41,40,5,5,1.0,390,230,triggered
41,50,5,5,1.0,390,230,triggered
41,all_pre_trigger,5,5,1.0,390,230,triggered
42,10,4,4,1.0,360,200,triggered
42,20,4,4,1.0,360,200,triggered
42,30,4,4,1.0,360,200,triggered
42,40,4,4,1.0,360,200,triggered
42,50,4,4,1.0,360,200,triggered
42,all_pre_trigger,4,4,1.0,360,200,triggered
43,10,4,4,1.0,380,220,triggered
43,20,4,4,1.0,380,220,triggered
43,30,4,4,1.0,380,220,triggered
43,40,4,4,1.0,380,220,triggered
43,50,4,4,1.0,380,220,triggered
43,all_pre_trigger,4,4,1.0,380,220,triggered
44,10,4,4,1.0,290,130,triggered
44,20,4,4,1.0,290,130,triggered
44,30,4,4,1.0,290,130,triggered
44,40,4,4,1.0,290,130,triggered
44,50,4,4,1.0,290,130,triggered
44,all_pre_trigger,4,4,1.0,290,130,triggered
45,10,0,0,0.0,250,90,no_replacement
45,20,0,0,0.0,250,90,no_replacement
45,30,0,0,0.0,250,90,no_replacement
45,40,0,0,0.0,250,90,no_replacement
