run_id,population,attack_mode,H,relock_window,relock_to_drop_latency,early_break,early_locked_fraction,early_persistent_or_locked_fraction,early_mean_run_length,early_min_run_length,early_run_length_slope,early_state_drop,early_below_persistent
48,B,block_20,10,63,6,1,0.6,0.6,7.5,0,-10,True,True
49,A,block_3,3,74,12,0,1.0,1.0,11.0,10,2,False,False
49,A,block_3,5,74,12,0,1.0,1.0,12.0,10,4,False,False
49,A,block_3,10,74,12,0,1.0,1.0,14.5,10,9,False,False
49,A,block_5,3,75,11,0,1.0,1.0,11.0,10,2,False,False
49,A,block_5,5,75,11,0,1.0,1.0,12.0,10,4,False,False
49,A,block_5,10,75,11,0,1.0,1.0,14.5,10,9,False,False
49,A,block_10,3,77,9,1,1.0,1.0,11.0,10,2,False,False
49,A,block_10,5,77,9,1,1.0,1.0,12.0,10,4,False,False
49,A,block_10,10,77,9,1,1.0,1.0,14.0,10,8,False,False
49,A,block_15,3,80,6,1,1.0,1.0,11.0,10,2,False,False
49,A,block_15,5,80,6,1,1.0,1.0,12.0,10,4,False,False
49,A,block_15,10,80,6,1,1.0,1.0,12.5,10,5,False,False
49,A,block_20,3,82,4,1,1.0,1.0,11.0,10,2,False,False
49,A,block_20,5,82,4,1,1.0,1.0,11.5,10,3,False,False
49,A,block_20,10,82,4,1,1.0,1.0,11.5,10,3,False,False
50,A,block_3,3,68,18,0,1.0,1.0,11.0,10,2,False,False
50,A,block_3,5,68,18,0,1.0,1.0,12.0,10,4,False,False
50,A,block_3,10,68,18,0,1.0,1.0,14.5,10,9,False,False
50,A,block_5,3,69,17,0,1.0,1.0,11.0,10,2,False,False
50,A,block_5,5,69,17,0,1.0,1.0,12.0,10,4,False,False
50,A,block_5,10,69,17,0,1.0,1.0,14.5,10,9,False,False
50,A,block_10,3,72,14,0,1.0,1.0,11.0,10,2,False,False
50,A,block_10,5,72,14,0,1.0,1.0,12.0,10,4,False,False
50,A,block_10,10,72,14,0,1.0,1.0,14.5,10,9,False,False
50,A,block_15,3,74,12,0,1.0,1.0,11.0,10,2,False,False
50,A,block_15,5,74,12,0,1.0,1.0,12.0,10,4,False,False
50,A,block_15,10,74,12,0,1.0,1.0,14.5,10,9,False,False
50,A,block_20,3,77,9,1,1.0,1.0,11.0,10,2,False,False
50,A,block_20,5,77,9,1,1.0,1.0,12.0,10,4,False,False
50,A,block_20,10,77,9,1,1.0,1.0,14.0,10,8,False,False
