run_id,mode,strength,trigger_sample,delay,status
17,noise_replay,10%,,,skip
17,noise_replay,20%,,,skip
18,single_break,1,400.0,240.0,triggered
18,double_break,2,370.0,210.0,triggered
18,noise_replay,5%,360.0,200.0,triggered
18,noise_replay,10%,360.0,200.0,triggered
18,noise_replay,20%,400.0,240.0,triggered
19,single_break,1,290.0,130.0,triggered
19,double_break,2,300.0,140.0,triggered
19,noise_replay,5%,300.0,140.0,triggered
19,noise_replay,10%,270.0,110.0,triggered
19,noise_replay,20%,290.0,130.0,triggered
20,single_break,1,,,skip
20,double_break,2,,,skip
20,noise_replay,5%,,,skip
20,noise_replay,10%,,,skip
20,noise_replay,20%,,,skip
21,single_break,1,340.0,180.0,triggered
21,double_break,2,360.0,200.0,triggered
21,noise_replay,5%,340.0,180.0,triggered
21,noise_replay,10%,330.0,170.0,triggered
21,noise_replay,20%,350.0,190.0,triggered
22,single_break,1,290.0,130.0,triggered
22,double_break,2,290.0,130.0,triggered
22,noise_replay,5%,280.0,120.0,triggered
22,noise_replay,10%,260.0,100.0,triggered
22,noise_replay,20%,280.0,120.0,triggered
23,single_break,1,270.0,110.0,triggered
23,double_break,2,290.0,130.0,triggered
23,noise_replay,5%,290.0,130.0,triggered
23,noise_replay,10%,290.0,130.0,triggered
23,noise_replay,20%,260.0,100.0,triggered
24,single_break,1,280.0,120.0,triggered
24,double_break,2,290.0,130.0,triggered
24,noise_replay,5%,290.0,130.0,triggered
24,noise_replay,10%,290.0,130.0,triggered
24,noise_replay,20%,280.0,120.0,triggered
25,single_break,1,360.0,200.0,triggered
25,double_break,2,340.0,180.0,triggered
25,noise_replay,5%,360.0,200.0,triggered
25,noise_replay,10%,350.0,190.0,triggered
25,noise_replay,20%,330.0,170.0,triggered
26,single_break,1,410.0,250.0,triggered
26,double_break,2,420.0,260.0,triggered
26,noise_replay,5%,440.0,280.0,triggered
26,noise_replay,10%,430.0,270.0,triggered
26,noise_replay,20%,430.0,270.0,triggered
27,single_break,1,300.0,140.0,triggered
27,double_break,2,300.0,140.0,triggered
27,noise_replay,5%,290.0,130.0,triggered
27,noise_replay,10%,280.0,120.0,triggered
27,noise_replay,20%,290.0,130.0,triggered
28,single_break,1,360.0,200.0,triggered
28,double_break,2,370.0,210.0,triggered
28,noise_replay,5%,340.0,180.0,triggered
28,noise_replay,10%,340.0,180.0,triggered
28,noise_replay,20%,360.0,200.0,triggered
29,single_break,1,350.0,190.0,triggered
29,double_break,2,370.0,210.0,triggered
29,noise_replay,5%,360.0,200.0,triggered
29,noise_replay,10%,350.0,190.0,triggered
29,noise_replay,20%,340.0,180.0,triggered
30,single_break,1,330.0,170.0,triggered
30,double_break,2,410.0,250.0,triggered
30,noise_replay,5%,340.0,180.0,triggered
30,noise_replay,10%,410.0,250.0,triggered
30,noise_replay,20%,340.0,180.0,triggered
31,single_break,1,,,skip
31,double_break,2,,,skip
31,noise_replay,5%,,,skip
31,noise_replay,10%,,,skip
31,noise_replay,20%,,,skip
32,single_break,1,310.0,150.0,triggered
32,double_break,2,330.0,170.0,triggered
32,noise_replay,5%,320.0,160.0,triggered
32,noise_replay,10%,330.0,170.0,triggered
32,noise_replay,20%,310.0,150.0,triggered
33,single_break,1,,,skip
33,double_break,2,,,skip
33,noise_replay,5%,,,skip
33,noise_replay,10%,,,skip
33,noise_replay,20%,,,skip
34,single_break,1,280.0,120.0,triggered
34,double_break,2,290.0,130.0,triggered
34,noise_replay,5%,270.0,110.0,triggered
34,noise_replay,10%,280.0,120.0,triggered
34,noise_replay,20%,270.0,110.0,triggered
35,single_break,1,310.0,150.0,triggered
35,double_break,2,320.0,160.0,triggered
35,noise_replay,5%,310.0,150.0,triggered
35,noise_replay,10%,310.0,150.0,triggered
35,noise_replay,20%,320.0,160.0,triggered
36,single_break,1,350.0,190.0,triggered
36,double_break,2,380.0,220.0,triggered
36,noise_replay,5%,370.0,210.0,triggered
36,noise_replay,10%,360.0,200.0,triggered
36,noise_replay,20%,360.0,200.0,triggered
37,single_break,1,,,skip
37,double_break,2,,,skip
37,noise_replay,5%,,,skip
37,noise_replay,10%,,,skip
37,noise_replay,20%,,,skip
38,single_break,1,320.0,160.0,triggered
38,double_break,2,330.0,170.0,triggered
38,noise_replay,5%,330.0,170.0,triggered
38,noise_replay,10%,350.0,190.0,triggered
38,noise_replay,20%,310.0,150.0,triggered
39,single_break,1,280.0,120.0,triggered
39,double_break,2,300.0,140.0,triggered
39,noise_replay,5%,300.0,140.0,triggered
39,noise_replay,10%,300.0,140.0,triggered
39,noise_replay,20%,270.0,110.0,triggered
40,single_break,1,280.0,120.0,triggered
40,double_break,2,310.0,150.0,triggered
40,noise_replay,5%,300.0,140.0,triggered
40,noise_replay,10%,280.0,120.0,triggered
40,noise_replay,20%,290.0,130.0,triggered
41,single_break,1,370.0,210.0,triggered
41,double_break,2,390.0,230.0,triggered
41,noise_replay,5%,350.0,190.0,triggered
41,noise_replay,10%,380.0,220.0,triggered
41,noise_replay,20%,370.0,210.0,triggered
42,single_break,1,330.0,170.0,triggered
42,double_break,2,360.0,200.0,triggered
42,noise_replay,5%,360.0,200.0,triggered
42,noise_replay,10%,360.0,200.0,triggered
42,noise_replay,20%,340.0,180.0,triggered
43,single_break,1,380.0,220.0,triggered
43,double_break,2,380.0,220.0,triggered
43,noise_replay,5%,370.0,210.0,triggered
43,noise_replay,10%,380.0,220.0,triggered
43,noise_replay,20%,380.0,220.0,triggered
44,single_break,1,280.0,120.0,triggered
44,double_break,2,290.0,130.0,triggered
44,noise_replay,5%,270.0,110.0,triggered
44,noise_replay,10%,260.0,100.0,triggered
44,noise_replay,20%,280.0,120.0,triggered
45,single_break,1,,,skip
45,double_break,2,,,skip
45,noise_replay,5%,,,skip
45,noise_replay,10%,,,skip
45,noise_replay,20%,,,skip
46,single_break,1,,,skip
46,double_break,2,,,skip
46,noise_replay,5%,,,skip
46,noise_replay,10%,,,skip
46,noise_replay,20%,,,skip
47,single_break,1,280.0,120.0,triggered
47,double_break,2,310.0,150.0,triggered
47,noise_replay,5%,310.0,150.0,triggered
47,noise_replay,10%,310.0,150.0,triggered
47,noise_replay,20%,280.0,120.0,triggered
48,single_break,1,310.0,150.0,triggered
48,double_break,2,320.0,160.0,triggered
48,noise_replay,5%,290.0,130.0,triggered
48,noise_replay,10%,290.0,130.0,triggered
48,noise_replay,20%,300.0,140.0,triggered
49,single_break,1,290.0,130.0,triggered
49,double_break,2,290.0,130.0,triggered
49,noise_replay,5%,290.0,130.0,triggered
49,noise_replay,10%,280.0,120.0,triggered
49,noise_replay,20%,280.0,120.0,triggered
50,single_break,1,410.0,250.0,triggered
50,double_break,2,400.0,240.0,triggered
50,noise_replay,5%,400.0,240.0,triggered
50,noise_replay,10%,430.0,270.0,triggered
50,noise_replay,20%,410.0,250.0,triggered
