subset_size,subset_id,variables,normal_mass,f13_mass,delta_mass,retention_ratio
5,96,"xmeas_10,xmeas_27,xmeas_3,xmeas_32,xmeas_33",0.16856552557623705,0.18680991223431054,0.018244386658073486,1.1082332018061354
5,97,"xmeas_19,xmeas_27,xmeas_32,xmeas_34,xmeas_39",0.155149843516079,0.15484251495298457,-0.0003073285630944278,0.9980191493853199
5,98,"xmeas_20,xmeas_22,xmeas_27,xmeas_31,xmeas_5",0.13993325911551385,0.1509581640164339,0.011024904900920035,1.0787868792789308
5,99,"xmeas_17,xmeas_3,xmeas_30,xmeas_32,xmeas_6",0.14422118402514078,0.1462113833715069,0.0019901993463661283,1.0137996318532458
5,100,"xmeas_20,xmeas_26,xmeas_27,xmeas_30,xmeas_39",0.15317222598336896,0.16449539714457642,0.011323171161207457,1.0739244401595656
8,1,"xmeas_1,xmeas_17,xmeas_18,xmeas_2,xmeas_28,xmeas_33,xmeas_41,xmeas_8",0.06474477411033878,0.07898450134916273,0.01423972723882394,1.2199363162896022
8,2,"xmeas_10,xmeas_16,xmeas_19,xmeas_20,xmeas_23,xmeas_25,xmeas_29,xmeas_35",0.07742759427939369,0.3851318849202204,0.3077042906408267,4.9740908006657385
8,3,"xmeas_10,xmeas_17,xmeas_19,xmeas_25,xmeas_37,xmeas_39,xmeas_41,xmeas_7",0.09369639407489343,0.21667467361052745,0.12297827953563402,2.312518806284937
8,4,"xmeas_11,xmeas_13,xmeas_26,xmeas_35,xmeas_36,xmeas_37,xmeas_4,xmeas_5",0.0628071944906183,0.7193580051718201,0.6565508106812018,11.453433159380005
8,5,"xmeas_13,xmeas_15,xmeas_23,xmeas_25,xmeas_31,xmeas_37,xmeas_6,xmeas_9",0.06485519309499736,0.07698637064206872,0.012131177547071353,1.1870502090803594
8,6,"xmeas_13,xmeas_21,xmeas_22,xmeas_23,xmeas_29,xmeas_4,xmeas_41,xmeas_8",0.058913835762275456,0.10761342776792703,0.04869959200565157,1.8266240212146088
8,7,"xmeas_12,xmeas_15,xmeas_16,xmeas_20,xmeas_21,xmeas_22,xmeas_25,xmeas_8",0.05788787490104466,0.377436223226774,0.3195483483257293,6.520125729610262
8,8,"xmeas_11,xmeas_19,xmeas_20,xmeas_28,xmeas_30,xmeas_32,xmeas_40,xmeas_41",0.07463759325620746,0.19319948270850204,0.11856188945229458,2.588500968760591
8,9,"xmeas_12,xmeas_2,xmeas_3,xmeas_32,xmeas_37,xmeas_38,xmeas_39,xmeas_4",0.0905902483879982,0.07648431463758196,-0.014105933750416244,0.8442886062699667
8,10,"xmeas_1,xmeas_17,xmeas_18,xmeas_26,xmeas_28,xmeas_32,xmeas_35,xmeas_38",0.07607920437276451,0.10056951843769095,0.02449031406492644,1.3219054948674405
8,11,"xmeas_13,xmeas_18,xmeas_19,xmeas_3,xmeas_32,xmeas_36,xmeas_39,xmeas_40",0.07315895863952776,0.6475554151526485,0.5743964565131208,8.851348164456235
8,12,"xmeas_1,xmeas_13,xmeas_14,xmeas_24,xmeas_27,xmeas_32,xmeas_33,xmeas_9",0.07745446949909357,0.09202315118149414,0.014568681682400567,1.1880934910252237
8,13,"xmeas_21,xmeas_32,xmeas_33,xmeas_35,xmeas_36,xmeas_40,xmeas_41,xmeas_8",0.07938689093434866,0.08178797832076057,0.0024010873864119125,1.0302453875586717
8,14,"xmeas_17,xmeas_19,xmeas_2,xmeas_28,xmeas_3,xmeas_30,xmeas_38,xmeas_40",0.07155742679419289,0.07264839518341076,0.0010909683892178779,1.0152460525282865
8,15,"xmeas_11,xmeas_20,xmeas_22,xmeas_25,xmeas_40,xmeas_7,xmeas_8,xmeas_9",0.05406895441803063,0.7388080647144979,0.6847391102964673,13.664182548011429
8,16,"xmeas_16,xmeas_21,xmeas_23,xmeas_25,xmeas_27,xmeas_29,xmeas_30,xmeas_33",0.08394650609452084,0.09684353641306759,0.012897030318546748,1.1536339128713917
8,17,"xmeas_12,xmeas_13,xmeas_19,xmeas_22,xmeas_30,xmeas_32,xmeas_34,xmeas_41",0.06321691782931664,0.2055475123275744,0.14233059449825775,3.2514636755527815
8,18,"xmeas_13,xmeas_15,xmeas_20,xmeas_23,xmeas_31,xmeas_35,xmeas_40,xmeas_5",0.06409101675048526,0.1099246218230953,0.04583360507261004,1.7151330595913774
8,19,"xmeas_1,xmeas_13,xmeas_14,xmeas_15,xmeas_22,xmeas_23,xmeas_7,xmeas_8",0.05483456490007323,0.12172892388196196,0.06689435898188874,2.219930510651437
8,20,"xmeas_1,xmeas_11,xmeas_12,xmeas_17,xmeas_21,xmeas_22,xmeas_5,xmeas_7",0.056407177095595784,0.7400998351629281,0.6836926580673324,13.12066782914133
8,21,"xmeas_17,xmeas_21,xmeas_25,xmeas_29,xmeas_30,xmeas_36,xmeas_39,xmeas_41",0.07770259757981157,0.08047906359887591,0.0027764660190643387,1.035731957514539
8,22,"xmeas_17,xmeas_18,xmeas_23,xmeas_26,xmeas_27,xmeas_30,xmeas_4,xmeas_40",0.06962493808062216,0.07376438245320141,0.004139444372579251,1.05945347142486
8,23,"xmeas_1,xmeas_14,xmeas_25,xmeas_26,xmeas_28,xmeas_35,xmeas_37,xmeas_6",0.07758549871001873,0.08325311794507438,0.005667619235055654,1.0730499799831639
8,24,"xmeas_10,xmeas_13,xmeas_17,xmeas_31,xmeas_34,xmeas_38,xmeas_4,xmeas_40",0.07272293678622191,0.07780480006288623,0.005081863276664322,1.0698797847591761
8,25,"xmeas_10,xmeas_16,xmeas_17,xmeas_2,xmeas_3,xmeas_31,xmeas_33,xmeas_38",0.06662111362654888,0.07923990372072516,0.012618790094176283,1.1894112735186477
8,26,"xmeas_1,xmeas_17,xmeas_23,xmeas_25,xmeas_28,xmeas_29,xmeas_30,xmeas_33",0.08580911643239854,0.10849627759989204,0.022687161167493503,1.2643910342431697
8,27,"xmeas_1,xmeas_11,xmeas_16,xmeas_21,xmeas_28,xmeas_31,xmeas_37,xmeas_8",0.06369953662242306,0.6591405271763318,0.5954409905539086,10.347650251344856
8,28,"xmeas_14,xmeas_16,xmeas_21,xmeas_23,xmeas_32,xmeas_33,xmeas_36,xmeas_9",0.07228228467723494,0.07899833105996974,0.0067160463827348055,1.092914139383292
8,29,"xmeas_10,xmeas_20,xmeas_28,xmeas_33,xmeas_38,xmeas_4,xmeas_41,xmeas_8",0.07314556983480137,0.07819370943820712,0.005048139603405749,1.0690149725800953
8,30,"xmeas_11,xmeas_16,xmeas_21,xmeas_23,xmeas_29,xmeas_34,xmeas_5,xmeas_6",0.06528202480309678,0.6603209507423653,0.5950389259392685,10.114896891181477
8,31,"xmeas_14,xmeas_18,xmeas_20,xmeas_3,xmeas_34,xmeas_40,xmeas_6,xmeas_9",0.05741079540325243,0.16431494056173415,0.10690414515848172,2.8620913387696465
8,32,"xmeas_1,xmeas_11,xmeas_14,xmeas_17,xmeas_19,xmeas_25,xmeas_35,xmeas_36",0.07193382954177165,0.10214331172488633,0.030209482183114686,1.4199620989673012
8,33,"xmeas_10,xmeas_13,xmeas_14,xmeas_15,xmeas_23,xmeas_34,xmeas_37,xmeas_39",0.07589086636865754,0.07690333335880076,0.001012466990143221,1.0133410901371296
8,34,"xmeas_1,xmeas_10,xmeas_12,xmeas_13,xmeas_21,xmeas_22,xmeas_24,xmeas_34",0.07012959029812986,0.1087367288367889,0.03860713853865905,1.5505113921168516
8,35,"xmeas_10,xmeas_18,xmeas_20,xmeas_23,xmeas_26,xmeas_3,xmeas_30,xmeas_31",0.07526780049979225,0.17473637897291333,0.09946857847312109,2.3215289616606074
8,36,"xmeas_10,xmeas_19,xmeas_24,xmeas_28,xmeas_30,xmeas_33,xmeas_41,xmeas_8",0.0741096049881332,0.09340537141307603,0.019295766424942837,1.2603679550308733
8,37,"xmeas_17,xmeas_18,xmeas_2,xmeas_27,xmeas_34,xmeas_38,xmeas_40,xmeas_6",0.06996684575674193,0.0663844328362841,-0.003582412920457828,0.9487984205005774
8,38,"xmeas_10,xmeas_13,xmeas_17,xmeas_2,xmeas_20,xmeas_3,xmeas_31,xmeas_35",0.06668948356783004,0.11109429092662479,0.04440480735879475,1.665844220356664
8,39,"xmeas_12,xmeas_17,xmeas_20,xmeas_25,xmeas_31,xmeas_38,xmeas_41,xmeas_8",0.06995637615861523,0.07612573910849767,0.006169362949882434,1.0881887138789965
8,40,"xmeas_1,xmeas_11,xmeas_2,xmeas_20,xmeas_30,xmeas_40,xmeas_5,xmeas_6",0.06058607470347524,0.11656567777315358,0.055979603069678335,1.9239681420402452
