fault_number,W,S,typical_mass,max_stationary_occupancy,stationary_entropy_norm,typical_edge_count,typical_edge_entropy,self_loop_mass,cycle_mass,dominant_pair,taxonomy_class
14,80,20,0.9,0.9918876605583279,0.024329362469291505,1,0.0,0.9878987201698815,0.01210127983011855,XMEAS7-XMEAS11,single_edge_attractor
15,80,20,0.9,0.22454560868035378,0.9304931463689363,63,0.9103070581628016,0.3903375222038928,0.6096624777961073,XMEAS8-XMEAS9,diffuse_wandering
16,80,20,0.9,0.2242881196433629,0.9442397946002834,65,0.9065712703278205,0.405328583018626,0.594671416981374,XMEAS8-XMEAS9,diffuse_wandering
17,80,20,0.9,0.49873641738770175,0.46632654492979414,9,0.6267291746487267,0.7030623376422039,0.29693766235779606,XMEAS7-XMEAS11,partial_locking
18,80,20,0.9,0.7904356036182308,0.28456556458457694,3,0.530949024164494,0.8866393420519127,0.11336065794808725,XMEAS7-XMEAS11,metastable_basin
0,100,5,0.75,0.22156342975347607,0.9300267786672831,16,0.8372066057959877,0.7034016250389208,0.2965983749610792,XMEAS8-XMEAS9,partial_locking
4,100,5,0.75,0.18682262207319375,0.94516663905683,16,0.8526880000453841,0.7055684019986497,0.2944315980013503,XMEAS8-XMEAS9,partial_locking
6,100,5,0.75,0.9879174415971239,0.03790122522505543,1,0.0,0.9921670478906319,0.007832952109368074,XMEAS7-XMEAS11,single_edge_attractor
8,100,5,0.75,0.9901608439219589,0.03203391287883811,1,0.0,0.993265938738658,0.006734061261342017,XMEAS7-XMEAS11,single_edge_attractor
12,100,5,0.75,0.5856105266003993,0.4874761357518181,2,0.9196267014135968,0.9096493992819452,0.09035060071805479,XMEAS9-XMEAS11,single_edge_attractor
13,100,5,0.75,0.9492868368631289,0.13012124661287483,1,0.0,0.9760780273835193,0.023921972616480658,XMEAS7-XMEAS11,single_edge_attractor
14,100,5,0.75,0.9954272876486073,0.015015594220100806,1,0.0,0.9961916755363587,0.0038083244636413216,XMEAS7-XMEAS11,single_edge_attractor
15,100,5,0.75,0.22213471746559058,0.9343970555724049,17,0.8323110231435353,0.699925605460455,0.300074394539545,XMEAS8-XMEAS9,partial_locking
16,100,5,0.75,0.22032481339563476,0.9431862593152822,17,0.8403210516283947,0.6998499595396951,0.3001500404603049,XMEAS8-XMEAS9,partial_locking
17,100,5,0.75,0.48951276075356875,0.43334462825009573,2,0.9985673114648325,0.8932176594601772,0.10678234053982283,XMEAS7-XMEAS11,metastable_basin
18,100,5,0.75,0.7601137895215315,0.32132746957943026,2,0.71476711837931,0.9511237209720403,0.04887627902795966,XMEAS7-XMEAS11,single_edge_attractor
0,100,5,0.8,0.22156342975347607,0.9300267786672831,25,0.7935104793362184,0.7034016250389208,0.2965983749610792,XMEAS8-XMEAS9,diffuse_wandering
4,100,5,0.8,0.18682262207319375,0.94516663905683,25,0.8035646408492373,0.7055684019986497,0.2944315980013503,XMEAS8-XMEAS9,diffuse_wandering
6,100,5,0.8,0.9879174415971239,0.03790122522505543,1,0.0,0.9921670478906319,0.007832952109368074,XMEAS7-XMEAS11,single_edge_attractor
8,100,5,0.8,0.9901608439219589,0.03203391287883811,1,0.0,0.993265938738658,0.006734061261342017,XMEAS7-XMEAS11,single_edge_attractor
12,100,5,0.8,0.5856105266003993,0.4874761357518181,2,0.9196267014135968,0.9096493992819452,0.09035060071805479,XMEAS9-XMEAS11,single_edge_attractor
13,100,5,0.8,0.9492868368631289,0.13012124661287483,1,0.0,0.9760780273835193,0.023921972616480658,XMEAS7-XMEAS11,single_edge_attractor
14,100,5,0.8,0.9954272876486073,0.015015594220100806,1,0.0,0.9961916755363587,0.0038083244636413216,XMEAS7-XMEAS11,single_edge_attractor
15,100,5,0.8,0.22213471746559058,0.9343970555724049,25,0.79598378260951,0.699925605460455,0.300074394539545,XMEAS8-XMEAS9,diffuse_wandering
16,100,5,0.8,0.22032481339563476,0.9431862593152822,25,0.8029926979364505,0.6998499595396951,0.3001500404603049,XMEAS8-XMEAS9,diffuse_wandering
17,100,5,0.8,0.48951276075356875,0.43334462825009573,2,0.9985673114648325,0.8932176594601772,0.10678234053982283,XMEAS7-XMEAS11,metastable_basin
18,100,5,0.8,0.7601137895215315,0.32132746957943026,2,0.71476711837931,0.9511237209720403,0.04887627902795966,XMEAS7-XMEAS11,single_edge_attractor
0,100,5,0.9,0.22156342975347607,0.9300267786672831,48,0.7628908543641647,0.7034016250389208,0.2965983749610792,XMEAS8-XMEAS9,diffuse_wandering
4,100,5,0.9,0.18682262207319375,0.94516663905683,49,0.7722672257053934,0.7055684019986497,0.2944315980013503,XMEAS8-XMEAS9,diffuse_wandering
6,100,5,0.9,0.9879174415971239,0.03790122522505543,1,0.0,0.9921670478906319,0.007832952109368074,XMEAS7-XMEAS11,single_edge_attractor
8,100,5,0.9,0.9901608439219589,0.03203391287883811,1,0.0,0.993265938738658,0.006734061261342017,XMEAS7-XMEAS11,single_edge_attractor
12,100,5,0.9,0.5856105266003993,0.4874761357518181,6,0.5463745114415904,0.9096493992819452,0.09035060071805479,XMEAS9-XMEAS11,partial_locking
13,100,5,0.9,0.9492868368631289,0.13012124661287483,1,0.0,0.9760780273835193,0.023921972616480658,XMEAS7-XMEAS11,single_edge_attractor
14,100,5,0.9,0.9954272876486073,0.015015594220100806,1,0.0,0.9961916755363587,0.0038083244636413216,XMEAS7-XMEAS11,single_edge_attractor
15,100,5,0.9,0.22213471746559058,0.9343970555724049,50,0.76262753269852,0.699925605460455,0.300074394539545,XMEAS8-XMEAS9,diffuse_wandering
16,100,5,0.9,0.22032481339563476,0.9431862593152822,50,0.768111557846542,0.6998499595396951,0.3001500404603049,XMEAS8-XMEAS9,diffuse_wandering
17,100,5,0.9,0.48951276075356875,0.43334462825009573,4,0.6928846381546048,0.8932176594601772,0.10678234053982283,XMEAS7-XMEAS11,metastable_basin
18,100,5,0.9,0.7601137895215315,0.32132746957943026,2,0.71476711837931,0.9511237209720403,0.04887627902795966,XMEAS7-XMEAS11,single_edge_attractor
